Company,TypeName,Ram,OpSys,Weight,CPU,HDD,SSD,GPU,TouchScreen,IPS,PPI
HP,Notebook,4,Windows,2.1,AMD,1000,,AMD,0,0,141.21199808219862
Dell,Notebook,4,Other,1.93,Intel Core i5,0,,Intel,0,0,100.45466986113651
Lenovo,Ultrabook,8,Windows,1.36,Intel Core i7,,256,Intel,0,1,176.23257360658386
Lenovo,Notebook,32,Windows,2.5,Other Intel Processor,,1000,Nvidia,0,1,282.42399616439724
Samsung,Ultrabook,8,Windows,0.81,Intel Core i5,,256,Intel,0,0,165.6321180513006
HP,Notebook,4,Windows,1.54,Intel Core i5,,256,Intel,0,0,157.3505121487356
Dell,2 in 1 Convertible,4,Windows,1.47,Other Intel Processor,0,,Intel,1,0,135.0942111925629
Dell,Ultrabook,8,Windows,1.21,Intel Core i7,,256,Intel,0,1,165.6321180513006
Dell,Notebook,8,Windows,1.93,Intel Core i7,,256,Nvidia,0,0,141.21199808219862
Lenovo,Ultrabook,8,Windows,1.7,Intel Core i7,,256,Intel,0,1,157.3505121487356
LG,Ultrabook,16,Windows,1.08,Intel Core i7,,512,Intel,1,1,141.21199808219862
HP,Notebook,8,Windows,1.63,Intel Core i5,,256,Intel,0,0,157.3505121487356
Chuwi,Notebook,6,Windows,1.4,Other Intel Processor,,,Intel,0,1,267.3384360344031
Apple,Ultrabook,4,Mac,1.08,Intel Core i5,,,Intel,0,0,135.0942111925629
HP,Notebook,4,Windows,1.49,Intel Core i3,0,,Intel,0,0,117.82653006268643
Lenovo,Ultrabook,8,Windows,1.13,Intel Core i7,,512,Intel,0,1,209.8006828649808
Lenovo,Notebook,8,Windows,1.4,Intel Core i3,,256,Intel,0,1,165.6321180513006
Dell,2 in 1 Convertible,8,Windows,1.62,Intel Core i7,1000,,Intel,1,1,165.6321180513006
Asus,Gaming,16,Windows,4.3,Intel Core i7,1000,256,Nvidia,0,0,127.33567457123111
Lenovo,Notebook,8,Windows,2.2,Intel Core i7,1000,,Nvidia,0,1,141.21199808219862
Asus,Gaming,8,Windows,1.99,Intel Core i7,1000,128,Nvidia,0,0,141.21199808219862
Acer,Gaming,16,Windows,4.2,Intel Core i7,1000,256,Nvidia,0,1,127.33567457123111
HP,Notebook,8,Windows,1.84,Intel Core i7,,256,Intel,0,0,141.21199808219862
Acer,Notebook,4,Windows,2.4,Intel Core i3,1000,,Intel,0,0,141.21199808219862
Dell,Ultrabook,16,Windows,1.21,Intel Core i7,,1000,Intel,1,1,331.2642361026012
Lenovo,Ultrabook,16,Windows,1.36,Intel Core i7,,512,Intel,0,1,176.23257360658386
HP,Notebook,8,Windows,1.16,Intel Core i5,,256,Intel,0,0,165.6321180513006
Dell,Notebook,8,Windows,2.18,Intel Core i5,,256,Intel,0,0,141.21199808219862
Acer,Netbook,4,Windows,1.4,Other Intel Processor,,,Intel,0,0,135.0942111925629
HP,2 in 1 Convertible,8,Windows,1.28,Intel Core i7,,256,Intel,1,0,165.6321180513006
Dell,Notebook,8,Windows,1.9,Intel Core i5,,256,Intel,0,0,141.21199808219862
Lenovo,Gaming,16,Windows,2.4,Intel Core i7,,512,Nvidia,0,0,141.21199808219862
Dell,Notebook,8,Windows,2.5,Intel Core i5,1000,,AMD,0,0,100.45466986113651
Google,Ultrabook,16,Other,1.1,Intel Core i7,,512,Intel,1,0,234.50740003017813
HP,Notebook,8,Windows,2.63,Intel Core i5,,256,Nvidia,0,0,127.33567457123111
Toshiba,Notebook,8,Windows,2.2,Intel Core i7,,256,Intel,0,1,141.21199808219862
HP,Workstation,8,Windows,2.0,Intel Core i7,,256,Nvidia,0,0,141.21199808219862
Dell,Notebook,8,Other,2.83,Intel Core i7,1000,,AMD,0,0,127.33567457123111
Dell,Ultrabook,4,Windows,1.5,Intel Core i3,0,,Intel,0,0,125.36742798669837
Lenovo,Notebook,4,Windows,1.44,Intel Core i5,,128,Intel,0,0,165.6321180513006
Asus,Gaming,16,Windows,2.9,Intel Core i7,1000,256,Nvidia,0,0,127.33567457123111
Dell,Notebook,4,Windows,2.2,Intel Core i5,,256,AMD,0,0,141.21199808219862
HP,Notebook,8,Windows,1.84,Intel Core i7,,256,Intel,0,0,141.21199808219862
MSI,Gaming,8,Windows,2.6,Intel Core i7,,256,Nvidia,0,0,127.33567457123111
Dell,Ultrabook,8,Windows,1.88,Intel Core i5,,256,Intel,0,1,141.21199808219862
Lenovo,Gaming,16,Windows,2.4,Intel Core i7,2000,256,Nvidia,0,1,141.21199808219862
HP,Notebook,8,Windows,1.43,Intel Core i5,,256,Intel,0,0,157.3505121487356
Dell,2 in 1 Convertible,8,Windows,2.08,Intel Core i7,1000,,Intel,1,1,141.21199808219862
Lenovo,Notebook,8,Windows,2.3,Intel Core i5,1000,128,Nvidia,0,0,141.21199808219862
Lenovo,Gaming,8,Windows,3.2,Intel Core i7,1000,,Nvidia,0,1,141.21199808219862
Mediacom,Notebook,4,Windows,1.35,Other Intel Processor,,,Intel,0,1,165.6321180513006
Acer,Notebook,6,Windows,2.1,AMD,1000,,AMD,0,0,100.45466986113651
Dell,Notebook,8,Windows,1.9,Intel Core i5,0,,Intel,0,0,100.45466986113651
MSI,Gaming,8,Windows,2.2,Intel Core i5,,256,Nvidia,0,0,141.21199808219862
Acer,Notebook,6,Windows,2.23,Intel Core i5,1000,,Intel,0,0,100.45466986113651
Dell,Notebook,4,Windows,2.2,Other Intel Processor,0,,Intel,0,0,100.45466986113651
Acer,Notebook,6,Windows,2.1,Intel Core i3,1000,,Intel,1,1,141.21199808219862
Asus,Notebook,4,Other,2.1,Intel Core i5,1000,,Nvidia,0,0,141.21199808219862
Lenovo,Notebook,8,Windows,1.65,Intel Core i5,,256,Intel,0,0,157.3505121487356
Lenovo,Notebook,8,Windows,1.4,Intel Core i7,,256,Intel,0,1,165.6321180513006
Dell,2 in 1 Convertible,16,Windows,1.62,Intel Core i7,,512,Intel,1,0,165.6321180513006
HP,Notebook,8,Windows,1.64,Intel Core i7,,256,Nvidia,0,0,157.3505121487356
Lenovo,Gaming,8,Windows,2.5,Intel Core i7,1000,128,Nvidia,0,1,141.21199808219862
Xiaomi,Ultrabook,8,Other,1.3,Intel Core i5,,256,Nvidia,0,1,165.6321180513006
Asus,Gaming,16,Windows,2.5,Intel Core i7,1000,256,Nvidia,0,1,141.21199808219862
Acer,Notebook,2,Other,2.19,Other Intel Processor,,16,Intel,0,0,100.45466986113651
Dell,Notebook,16,Other,2.02,Intel Core i7,2000,256,AMD,0,0,141.21199808219862
Lenovo,Notebook,8,Windows,2.3,Intel Core i5,,256,Nvidia,0,1,141.21199808219862
Dell,Notebook,16,Windows,2.77,Intel Core i7,,512,Nvidia,1,0,127.33567457123111
Asus,Notebook,8,Windows,2.37,Intel Core i5,1000,,Intel,0,0,141.21199808219862
Dell,Notebook,4,Windows,2.18,Intel Core i3,1000,,Intel,0,0,100.45466986113651
HP,Ultrabook,8,Windows,1.32,Intel Core i7,,256,Intel,0,1,165.6321180513006
Dell,Workstation,16,Windows,2.8,Other Intel Processor,1000,256,Nvidia,0,0,282.42399616439724
Dell,Notebook,4,Windows,2.25,Intel Core i5,1000,,Intel,0,0,141.21199808219862
HP,Gaming,16,Windows,3.78,Intel Core i7,1000,256,Nvidia,0,1,127.33567457123111
Acer,Notebook,8,Windows,2.1,Intel Core i3,1000,,Intel,0,0,111.93520355955211
Lenovo,Ultrabook,8,Windows,1.7,Intel Core i7,,256,Intel,0,0,157.3505121487356
Lenovo,Notebook,8,Other,1.7,Intel Core i3,,256,Intel,0,1,157.3505121487356
HP,Notebook,4,Windows,1.95,Intel Core i5,,256,Intel,0,0,157.3505121487356
Lenovo,Notebook,4,Windows,1.7,Intel Core i3,,128,Intel,0,1,157.3505121487356
HP,Notebook,8,Other,1.86,Intel Core i5,,256,Intel,0,0,141.21199808219862
Lenovo,Notebook,4,Other,2.2,Intel Core i5,1000,,Intel,0,0,141.21199808219862
Acer,Notebook,4,Windows,2.1,AMD,1000,,AMD,0,0,100.45466986113651
Lenovo,Ultrabook,12,Windows,1.4,Intel Core i7,,512,Intel,0,0,157.3505121487356
Acer,Notebook,4,Windows,2.23,Intel Core i5,,256,Nvidia,0,0,141.21199808219862
HP,Notebook,4,Other,1.86,Intel Core i3,0,,Intel,0,0,141.21199808219862
HP,Ultrabook,8,Windows,1.34,Intel Core i7,,256,Intel,0,1,276.053530085501
Dell,Notebook,8,Windows,2.06,Intel Core i5,,256,Nvidia,1,0,282.42399616439724
Dell,Notebook,8,Windows,1.64,Intel Core i5,,256,Intel,0,0,157.3505121487356
Dell,Workstation,16,Windows,2.17,Intel Core i7,,256,Nvidia,0,1,141.21199808219862
Lenovo,Gaming,8,Other,2.4,Intel Core i7,,256,Nvidia,0,1,141.21199808219862
HP,2 in 1 Convertible,8,Other,1.4,Other Intel Processor,,,Intel,1,0,135.0942111925629
Asus,Gaming,16,Windows,2.73,Intel Core i7,1000,512,Nvidia,0,0,127.33567457123111
Dell,Notebook,4,Other,2.18,Intel Core i5,1000,,Intel,0,0,100.45466986113651
Lenovo,2 in 1 Convertible,4,Windows,1.74,Intel Core i3,,256,Intel,1,1,157.3505121487356
Lenovo,Notebook,8,Windows,2.2,Intel Core i5,,256,Intel,0,0,100.45466986113651
Acer,Netbook,4,Other,1.25,Other Intel Processor,,,Intel,0,1,135.0942111925629
HP,Notebook,16,Windows,2.1,Intel Core i7,,512,Intel,0,0,141.21199808219862
